window_id,interim_path,start_sample,end_sample,label,label_name,dataset,source_clip_id,rms,split
0,data/interim/drone/saraalemadi/B_S2_D1_067-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_067-bebop,,train
1,data/interim/drone/saraalemadi/B_S2_D1_067-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_067-bebop,,train
2,data/interim/drone/saraalemadi/B_S2_D1_067-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_067-bebop,,train
3,data/interim/drone/saraalemadi/B_S2_D1_067-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_067-bebop,,train
4,data/interim/drone/saraalemadi/B_S2_D1_067-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_067-bebop,,train
5,data/interim/drone/saraalemadi/B_S2_D1_067-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_067-bebop,,train
6,data/interim/drone/saraalemadi/B_S2_D1_067-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_067-bebop,,train
7,data/interim/drone/saraalemadi/B_S2_D1_067-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_067-bebop,,train
8,data/interim/drone/saraalemadi/B_S2_D1_067-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_067-bebop,,train
9,data/interim/drone/saraalemadi/B_S2_D1_069-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_069-bebop,,train
10,data/interim/drone/saraalemadi/B_S2_D1_069-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_069-bebop,,train
11,data/interim/drone/saraalemadi/B_S2_D1_069-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_069-bebop,,train
12,data/interim/drone/saraalemadi/B_S2_D1_069-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_069-bebop,,train
13,data/interim/drone/saraalemadi/B_S2_D1_069-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_069-bebop,,train
14,data/interim/drone/saraalemadi/B_S2_D1_069-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_069-bebop,,train
15,data/interim/drone/saraalemadi/B_S2_D1_069-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_069-bebop,,train
16,data/interim/drone/saraalemadi/B_S2_D1_069-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_069-bebop,,train
17,data/interim/drone/saraalemadi/B_S2_D1_069-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_069-bebop,,train
